season,team,interval,shots,goals,xG,total_goals,goals_minus_xG,goals_percentage,shots_against,goals_against,xGA,total_goals_against,goals_against_minus_xGA,goals_against_percentage
2025,Arsenal,46-60,104,16,16.431625625118613,71,-0.43162562511861324,22.535211267605636,62,5,5.649792738258839,27,-0.6497927382588387,18.51851851851852
2025,Arsenal,61-75,82,9,11.498258852399886,71,-2.4982588523998857,12.676056338028168,51,5,4.653875078074634,27,0.3461249219253659,18.51851851851852
2025,Arsenal,76+,107,15,18.55989260552451,71,-3.55989260552451,21.12676056338028,74,8,10.645372035447508,27,-2.645372035447508,29.629629629629626
2025,Chelsea,1-15,67,6,7.659189363010228,58,-1.6591893630102277,10.344827586206897,74,11,10.12766264937818,52,0.8723373506218195,21.153846153846153
2025,Chelsea,16-30,87,7,9.004468903876841,58,-2.004468903876841,12.068965517241379,52,6,8.268200483173132,52,-2.268200483173132,11.538461538461538
2025,Chelsea,31-45,68,10,12.014193058013916,58,-2.014193058013916,17.24137931034483,57,7,7.808223865926266,52,-0.8082238659262657,13.461538461538462
2025,Chelsea,46-60,105,18,17.690161216072738,58,0.30983878392726183,31.03448275862069,73,8,11.286647663451731,52,-3.286647663451731,15.384615384615385
2025,Chelsea,61-75,86,9,12.93125995900482,58,-3.9312599590048194,15.517241379310345,63,10,11.330617095343769,52,-1.3306170953437686,19.230769230769234
2025,Chelsea,76+,97,8,15.218091784976425,58,-7.218091784976425,13.793103448275861,97,10,11.892438496463,52,-1.8924384964630008,19.230769230769234
2025,Liverpool,1-15,66,4,5.948950244113803,63,-1.948950244113803,6.349206349206349,55,7,9.072854669764638,53,-2.072854669764638,13.20754716981132
2025,Liverpool,16-30,86,5,8.104373048990965,63,-3.104373048990965,7.936507936507936,59,3,6.745352647267282,53,-3.745352647267282,5.660377358490567
2025,Liverpool,31-45,104,15,12.922812302596869,63,2.077187697403131,23.809523809523807,71,7,6.573065664619207,53,0.4269343353807926,13.20754716981132
2025,Liverpool,46-60,115,14,14.830520990304649,63,-0.8305209903046489,22.22222222222222,58,9,8.09214580990374,53,0.9078541900962591,16.9811320754717
2025,Liverpool,61-75,90,5,8.528976653702557,63,-3.528976653702557,7.936507936507936,79,11,9.228407190181317,53,1.7715928098186833,20.754716981132077
2025,Liverpool,76+,125,20,19.468635477125645,63,0.5313645228743553,31.746031746031743,112,16,15.132689566351472,53,0.8673104336485284,30.18867924528302
2025,Manchester City,1-15,75,10,11.758534722961484,77,-1.7585347229614836,12.987012987012985,29,0,4.902561490423977,35,-4.902561490423977,0.0
2025,Manchester City,16-30,109,12,14.357849831692874,77,-2.3578498316928744,15.584415584415584,55,4,5.102762659080327,35,-1.1027626590803266,11.428571428571429
2025,Manchester City,31-45,99,16,14.5384906437248,77,1.4615093562752008,20.77922077922078,34,4,3.380326467566192,35,0.6196735324338078,11.428571428571429
2025,Manchester City,46-60,100,14,14.644453717395663,77,-0.6444537173956633,18.181818181818183,90,9,11.411200801841916,35,-2.4112008018419164,25.71428571428571
2025,Manchester City,61-75,80,12,11.775655479170382,77,0.22434452082961798,15.584415584415584,69,13,11.16327603533864,35,1.8367239646613598,37.142857142857146
2025,Manchester City,76+,133,13,17.084851642139256,77,-4.084851642139256,16.883116883116884,93,5,12.657850785180926,35,-7.657850785180926,14.285714285714285
2025,Manchester United,1-15,82,8,10.454415355809031,69,-2.454415355809031,11.594202898550725,69,5,9.369322454556825,50,-4.3693224545568246,10.0
2025,Manchester United,16-30,88,8,12.2789890691638,69,-4.278989069163799,11.594202898550725,51,5,7.12778455298394,50,-2.1277845529839396,10.0
2025,Manchester United,31-45,93,10,10.787461588159204,69,-0.7874615881592035,14.492753623188406,69,5,6.727480536326766,50,-1.727480536326766,10.0
2025,Manchester United,46-60,115,18,16.264704471454024,69,1.7352955285459757,26.08695652173913,66,12,8.684129189699888,50,3.3158708103001118,24.0
2025,Manchester United,61-75,84,11,12.618220150470734,69,-1.6182201504707336,15.942028985507244,83,8,9.35640961676836,50,-1.3564096167683601,16.0
2025,Manchester United,76+,137,14,14.844776886049658,69,-0.8447768860496581,20.28985507246377,103,15,11.579611781053243,50,3.4203882189467567,30.0
2025,Tottenham,1-15,60,4,4.582189064472914,48,-0.5821890644729137,8.333333333333332,59,7,6.420707628130913,57,0.5792923718690872,12.280701754385964
2025,Tottenham,16-30,47,5,5.818574705161154,48,-0.8185747051611543,10.416666666666668,67,5,6.589865987189114,57,-1.589865987189114,8.771929824561402
2025,Tottenham,31-45,76,9,9.471314967609942,48,-0.47131496760994196,18.75,69,16,10.298362529836597,57,5.701637470163403,28.07017543859649
2025,Tottenham,46-60,90,10,9.761025206185876,48,0.23897479381412445,20.833333333333336,98,9,11.2585253957659,57,-2.2585253957659006,15.789473684210526
2025,Tottenham,61-75,60,7,6.861566273495555,48,0.13843372650444508,14.583333333333334,76,8,8.928336852230132,57,-0.9283368522301316,14.035087719298245
2025,Tottenham,76+,103,13,12.440252404659986,48,0.5597475953400135,27.083333333333332,96,12,12.630538337863982,57,-0.6305383378639817,21.052631578947366
